name,lat,lon,time,time_iso,u_wind,v_wind,dew_point,temperature,cloud_height,evaporation,wind_gust,mean_evaporation_rate,mean_potential_evaporation_rate,pressure,potential_evaporation,precipitation_type,soil_temperature,volumetric_soil_water,cloud_cover,hourly_precipitation,wind_angle,wind_direction,wind_speed
Point,51.5074,-0.1251,1700006400,2023-11-15T00:00:00,5.341461181640625,1.187225341796875,7.657006835937523,8.883447265625023,2016.009033203125,-1.8693972378969193e-06,10.23359203338623,-5.194451659917831e-07,3.243330866098404e-07,1011.616875,1.1576339602470398e-06,0.0,8.976342773437523,0.3930332660675049,0.152984619140625,0.0,257,w,5.4718106296890765
Point,51.5074,-0.1251,1700010000,2023-11-15T01:00:00,5.5393218994140625,0.9393157958984375,7.639672851562523,8.885400390625023,1699.9532470703125,-6.058253347873688e-07,10.121383666992188,-1.6042031347751617e-07,6.810296326875687e-07,1012.295625,2.4489127099514008e-06,1.0,8.961145019531273,0.3922993540763855,0.058319091796875,0.0,260,w,5.618398461283476
Point,51.5074,-0.1251,1700013600,2023-11-15T02:00:00,5.202392578125,0.86358642578125,7.640374755859398,8.912561035156273,1355.888427734375,-2.734595909714699e-06,9.93958568572998,-7.573980838060379e-07,2.1560117602348328e-07,1012.865,7.706694304943085e-07,1.0,8.964929199218773,0.39159855246543884,0.10540771484375,0.0,261,w,5.273582278842696
Point,51.5074,-0.1251,1700017200,2023-11-15T03:00:00,4.9803009033203125,1.062652587890625,7.377954101562523,8.674127197265648,1606.452880859375,-2.632616087794304e-06,9.674012184143066,-7.334165275096893e-07,1.1385418474674225e-07,1013.145,4.1653402149677277e-07,0.0,8.826806640625023,0.3909410238265991,0.082305908203125,0.0,258,w,5.092408821978432
Point,51.5074,-0.1251,1700020800,2023-11-15T04:00:00,5.023223876953125,1.398712158203125,7.101281738281273,8.387445068359398,1591.631103515625,-8.451752364635468e-07,9.728413581848145,-2.3818574845790863e-07,6.12577423453331e-07,1013.62625,2.219807356595993e-06,0.0,8.681604003906273,0.390301376581192,0.07098388671875,0.0,254,w,5.21432390818764
Point,51.5074,-0.1251,1700024400,2023-11-15T05:00:00,5.14630126953125,1.5715179443359375,6.907434082031273,8.179101562500023,1452.05908203125,-1.773238182067871e-06,9.778968811035156,-4.908069968223572e-07,3.885943442583084e-07,1014.07875,1.425156369805336e-06,0.0,8.533471679687523,0.3897029161453247,0.10894775390625,0.0,253,w,5.380900055394897
Point,51.5074,-0.1251,1700028000,2023-11-15T06:00:00,5.0550537109375,1.434295654296875,6.804589843750023,8.079797363281273,1377.368408203125,-2.1187588572502136e-06,9.684429168701172,-5.916226655244827e-07,4.032626748085022e-07,1014.488125,1.4347024261951447e-06,0.0,8.453698730468773,0.3891296684741974,0.088470458984375,0.0,254,w,5.254595326416478
Point,51.5074,-0.1251,1700031600,2023-11-15T07:00:00,5.098175048828125,1.4808807373046875,6.730981445312523,7.942895507812523,null,-8.635688573122025e-07,9.888463973999023,-2.3818574845790863e-07,6.386544555425644e-07,1014.90625,2.3010652512311935e-06,0.0,8.381555175781273,0.38857412338256836,0.01092529296875,0.0,254,w,5.308897869295823
Point,51.5074,-0.1251,1700035200,2023-11-15T08:00:00,5.142120361328125,1.521728515625,6.735559082031273,8.025781250000023,1643.66845703125,-2.705492079257965e-06,10.026617050170898,-7.527414709329605e-07,4.3888576328754425e-07,1015.751875,1.5683472156524658e-06,0.0,8.339318847656273,0.3880380690097809,0.04833984375,0.0,254,w,5.362560907407165
Point,51.5074,-0.1251,1700038800,2023-11-15T09:00:00,5.2750396728515625,1.335723876953125,6.976403808593773,8.867883300781273,1712.6649169921875,-3.5298289731144905e-05,10.354988098144531,-9.803567081689835e-06,-5.994923412799835e-06,1016.11375,-2.1570827811956406e-05,0.0,8.633538818359398,0.3874930441379547,0.0513916015625,0.0,256,w,5.4415256891445996
